127.0.0.1, 2015-01-09 22:28:22, GET, /, HTTP/1.1, 303, 0.003615
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.184218
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000672
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001449
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003615
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001956
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000675
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000602
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000726
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000629
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000614
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000575
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000622
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000570
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000702
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000597
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000611
127.0.0.1, 2015-01-09 22:28:22, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000658
127.0.0.1, 2015-01-09 22:28:24, GET, /admin/default/site, HTTP/1.1, 303, 0.070474
127.0.0.1, 2015-01-09 22:28:24, GET, /admin/default/index, HTTP/1.1, 200, 0.032728
127.0.0.1, 2015-01-09 22:28:24, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.000654
127.0.0.1, 2015-01-09 22:28:24, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.000739
127.0.0.1, 2015-01-09 22:28:24, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.001478
127.0.0.1, 2015-01-09 22:28:24, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.001227
127.0.0.1, 2015-01-09 22:28:24, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001357
127.0.0.1, 2015-01-09 22:28:24, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000840
127.0.0.1, 2015-01-09 22:28:24, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.000941
127.0.0.1, 2015-01-09 22:28:24, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002712
127.0.0.1, 2015-01-09 22:28:24, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000693
